time_s,time_us,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,uart_transfer_init_error,uart_transfer_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,reset_counter,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601801979,822000,0,0,-116,-116,0,0,-116,0,0,0,-88,3691,59,3693,0,7,231,11,0,2020-10-04T11:59:39,1601675925.659664,2020-10-03T00:58:45
1601802011,234000,0,0,-116,-14,0,0,-14,0,0,0,-88,4168,63,4169,0,7,72,11,0,2020-10-04T12:00:11,1601675957.728545,2020-10-03T00:59:17
1601802055,966000,0,0,-16,44,0,0,44,0,0,0,-88,4980,69,4979,0,7,254,11,0,2020-10-04T12:00:55,1601676008.3416,2020-10-03T01:00:08
1601802078,922000,0,0,-14,-14,0,0,-14,0,0,0,-88,5553,76,5547,0,7,89,11,0,2020-10-04T12:01:18,1601676026.644564,2020-10-03T01:00:26
1601802095,243000,0,0,-116,-14,0,0,-14,0,0,0,-88,5983,80,5973,0,7,176,11,0,2020-10-04T12:01:35,1601676044.825145,2020-10-03T01:00:44
1601802130,578000,0,0,-14,44,0,0,44,0,0,0,-88,7091,135,7033,0,7,94,11,0,2020-10-04T12:02:10,1601676079.36778,2020-10-03T01:01:19
1601802167,461000,0,0,-14,-14,0,0,-14,0,0,0,-88,54283,23869,30493,0,7,14,11,0,2020-10-04T12:02:47,1601676115.579321,2020-10-03T01:01:55
1601802186,542000,0,0,-14,-14,0,0,-14,0,0,0,-88,78762,36169,42672,0,7,103,11,0,2020-10-04T12:03:06,1601676133.686584,2020-10-03T01:02:13
1601802204,61000,0,0,-14,-14,0,0,-14,0,0,0,-88,98695,46219,52555,0,7,189,11,0,2020-10-04T12:03:24,1601676150.1485438,2020-10-03T01:02:30
1601802220,923000,0,0,-14,-14,0,0,-14,0,0,0,-88,119942,56869,63152,0,7,27,11,0,2020-10-04T12:03:40,1601676167.806284,2020-10-03T01:02:47
1601802237,880000,0,0,-14,-14,0,0,-14,0,0,0,-88,144431,69169,75341,0,7,117,11,0,2020-10-04T12:03:57,1601676185.327113,2020-10-03T01:03:05
1601802256,735000,0,0,-14,-14,0,0,-14,0,0,0,-88,165009,79519,85569,0,7,204,11,0,2020-10-04T12:04:16,1601676202.5153449,2020-10-03T01:03:22
1601802272,50000,0,0,-14,-14,0,0,-14,0,0,0,-88,188552,91369,97265,0,7,37,11,0,2020-10-04T12:04:32,1601676220.656661,2020-10-03T01:03:40
1601802291,290000,0,0,-14,-14,0,0,-14,0,0,0,-88,215913,105169,110826,0,7,126,11,0,2020-10-04T12:04:51,1601676238.500057,2020-10-03T01:03:58
1601802308,805000,0,0,-14,-14,0,0,-14,0,0,0,-88,240377,117469,122991,0,7,213,11,0,2020-10-04T12:05:08,1601676254.7886999,2020-10-03T01:04:14
1601802325,815000,0,0,-14,-14,0,0,-14,0,0,0,-88,254040,124369,129755,0,7,45,11,0,2020-10-04T12:05:25,1601676272.648917,2020-10-03T01:04:32
1601802362,235000,0,0,-14,-14,0,0,-14,0,0,0,-88,277054,135919,141219,0,7,138,11,0,2020-10-04T12:06:02,1601676290.6977398,2020-10-03T01:04:50
1601802360,727000,0,0,-14,-14,0,0,-14,0,0,0,-88,297916,146419,151581,0,7,228,11,0,2020-10-04T12:06:00,1601676307.9207718,2020-10-03T01:05:07
1601802395,120000,0,0,-14,-14,0,0,-14,0,0,0,-88,337879,166519,171444,0,7,149,11,0,2020-10-04T12:06:35,1601676342.4876518,2020-10-03T01:05:42
1601802414,101000,0,0,-14,-14,0,0,-14,0,0,0,-88,362324,178819,183589,0,7,239,11,0,2020-10-04T12:06:54,1601676360.220852,2020-10-03T01:06:00
1601802429,419000,0,0,-14,-14,0,0,-14,0,0,0,-88,377176,186319,190941,0,7,71,11,0,2020-10-04T12:07:09,1601676377.832412,2020-10-03T01:06:17
1601802446,217000,0,0,-14,-14,0,0,-14,0,0,0,-88,401923,198769,203238,0,7,158,11,0,2020-10-04T12:07:26,1601676395.15554,2020-10-03T01:06:35
1601802477,140000,0,0,-14,-14,0,0,-14,0,0,0,-88,448718,222319,226485,0,7,72,11,0,2020-10-04T12:07:57,1601676429.4036639,2020-10-03T01:07:09
1601802501,609000,0,0,-14,-14,0,0,-14,0,0,0,-88,466592,231319,235359,0,7,166,11,0,2020-10-04T12:08:21,1601676447.9623048,2020-10-03T01:07:27
1601802516,532000,0,0,-14,-14,0,0,-14,0,0,0,-88,477550,236869,240768,0,7,249,11,0,2020-10-04T12:08:36,1601676464.6121728,2020-10-03T01:07:44
1601802536,447000,0,0,-14,-14,0,0,-14,0,0,0,-88,493918,245119,248887,0,7,87,11,0,2020-10-04T12:08:56,1601676482.650064,2020-10-03T01:08:02
1601802551,927000,0,0,-14,-14,0,0,-14,0,0,0,-88,512389,254419,258058,0,7,178,11,0,2020-10-04T12:09:11,1601676500.284312,2020-10-03T01:08:20
1601802573,95000,0,0,-14,-14,0,0,-14,0,0,0,-88,534440,265519,269009,0,7,16,11,0,2020-10-04T12:09:33,1601676518.481613,2020-10-03T01:08:38
1601802586,955000,0,0,-14,-14,0,0,-14,0,0,0,-88,550797,273769,277117,0,7,101,11,0,2020-10-04T12:09:46,1601676536.005133,2020-10-03T01:08:56
1601802604,862000,0,0,-14,-14,0,0,-14,0,0,0,-88,577690,287269,290510,0,7,192,11,0,2020-10-04T12:10:04,1601676552.651044,2020-10-03T01:09:12
1601802620,877000,0,0,-14,-14,0,0,-14,0,0,0,-88,596739,296869,299959,0,7,26,11,0,2020-10-04T12:10:20,1601676570.5315678,2020-10-03T01:09:30
1601802638,463000,0,0,-14,-14,0,0,-14,0,0,0,-88,618843,307969,310963,0,7,117,11,0,2020-10-04T12:10:38,1601676588.415761,2020-10-03T01:09:48
1601802658,855000,0,0,-14,-14,0,0,-14,0,0,0,-88,636979,317119,319952,0,7,203,11,0,2020-10-04T12:10:58,1601676605.2567968,2020-10-03T01:10:05
1601802675,646000,0,0,-14,-14,0,0,-14,0,0,0,-88,654879,326119,328852,0,7,39,11,0,2020-10-04T12:11:15,1601676624.6250448,2020-10-03T01:10:24
1601802693,723000,0,0,-14,-14,0,0,-14,0,0,0,-88,674183,335869,338407,0,7,122,11,0,2020-10-04T12:11:33,1601676641.594552,2020-10-03T01:10:41
1601802711,377000,0,0,-14,-14,0,0,-14,0,0,0,-88,688740,343219,345615,0,7,213,11,0,2020-10-04T12:11:51,1601676659.457141,2020-10-03T01:10:59
1601802726,567000,0,0,-14,-14,0,0,-14,0,0,0,-88,699144,348469,350771,0,7,42,11,0,2020-10-04T12:12:06,1601676675.987453,2020-10-03T01:11:15
1601802746,420000,0,0,-14,-14,0,0,-14,0,0,0,-88,711608,354769,356936,0,7,136,11,0,2020-10-04T12:12:26,1601676694.617625,2020-10-03T01:11:34
1601802763,595000,0,0,-14,-14,0,0,-14,0,0,0,-88,736369,367219,369247,0,7,226,11,0,2020-10-04T12:12:43,1601676711.651672,2020-10-03T01:11:51
1601802780,818000,0,0,-14,-14,0,0,-14,0,0,0,-88,756639,377419,379318,0,7,62,11,0,2020-10-04T12:13:00,1601676729.446089,2020-10-03T01:12:09
1601802798,460000,0,0,-14,-14,0,0,-14,0,0,0,-88,778659,388519,390239,0,7,143,11,0,2020-10-04T12:13:18,1601676745.903668,2020-10-03T01:12:25
1601802816,779000,0,0,-14,-14,0,0,-14,0,0,0,-88,800100,399319,400880,0,7,233,11,0,2020-10-04T12:13:36,1601676765.49256,2020-10-03T01:12:45
1601802833,884000,0,0,-14,-14,0,0,-14,0,0,0,-88,819764,409219,410645,0,7,67,11,0,2020-10-04T12:13:53,1601676782.8967478,2020-10-03T01:13:02
1601802851,895000,0,0,-14,-14,0,0,-14,0,0,0,-88,839384,419119,420366,0,7,152,11,0,2020-10-04T12:14:11,1601676800.7478209,2020-10-03T01:13:20
1601802869,469000,0,0,-14,-14,0,0,-14,0,0,0,-88,854561,426769,427894,0,7,235,11,0,2020-10-04T12:14:29,1601676816.663204,2020-10-03T01:13:36
1601802887,82000,0,0,-14,-14,0,0,-14,0,0,0,-88,880448,439819,440731,0,7,69,11,0,2020-10-04T12:14:47,1601676835.606649,2020-10-03T01:13:55
1601802904,474000,0,0,-14,-14,0,0,-14,0,0,0,-88,904021,451669,452454,0,7,159,11,0,2020-10-04T12:15:04,1601676853.291712,2020-10-03T01:14:13
1601802921,192000,0,0,-14,-14,0,0,-14,0,0,0,-88,927206,463369,463940,0,7,245,11,0,2020-10-04T12:15:21,1601676870.975069,2020-10-03T01:14:30
1601802958,748000,0,0,-14,-14,0,0,-14,0,0,0,-88,948320,474019,474404,0,7,71,11,0,2020-10-04T12:15:58,1601676887.143817,2020-10-03T01:14:47
1601802958,246000,0,0,-14,-14,0,0,-14,0,0,0,-88,966511,483169,483446,0,7,162,11,0,2020-10-04T12:15:58,1601676904.2325878,2020-10-03T01:15:04
1601802966,669000,0,0,-14,-14,0,0,-14,0,0,0,-88,980531,490219,490416,0,7,233,11,0,2020-10-04T12:16:06,1601676919.073004,2020-10-03T01:15:19
1601802966,493000,0,0,-14,-14,0,0,-14,0,0,0,-88,999841,499969,499976,0,7,43,11,0,2020-10-04T12:16:06,1601676934.660081,2020-10-03T01:15:34
1601802966,404000,0,0,-16,-116,0,0,-16,0,0,0,-88,1013264,506719,506649,0,7,114,11,0,2020-10-04T12:16:06,1601676949.578233,2020-10-03T01:15:49
1601802966,646000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1056503,528469,528139,2,7,250,11,0,2020-10-04T12:16:06,1601676992.6390848,2020-10-03T01:16:32
1601802966,667000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1063961,532219,531847,4,7,71,11,0,2020-10-04T12:16:06,1601677006.8262079,2020-10-03T01:16:46
1601802966,752000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1076164,538369,537900,6,7,153,11,0,2020-10-04T12:16:06,1601677021.739881,2020-10-03T01:17:01
1601802966,450000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1091693,546169,545629,8,7,229,11,0,2020-10-04T12:16:06,1601677036.5745609,2020-10-03T01:17:16
1601802966,196000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1100061,550369,549797,9,7,50,11,0,2020-10-04T12:16:06,1601677050.238216,2020-10-03T01:17:30
1601802966,133000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1110782,555769,555118,10,7,126,11,0,2020-10-04T12:16:06,1601677064.181609,2020-10-03T01:17:44
1601802966,891000,0,-116,-14,-14,0,0,-14,0,0,0,-88,1128386,564619,563873,12,7,210,11,0,2020-10-04T12:16:06,1601677079.569284,2020-10-03T01:17:59
