time_s,time_us,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],quaternion[0],quaternion[1],quaternion[2],quaternion[3],seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802588,48000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,95,11,0,2020-10-04T12:09:48,1601676534.2434368,2020-10-03T01:08:54
1601802593,179000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,142,11,0,2020-10-04T12:09:53,1601676543.929133,2020-10-03T01:09:03
1601802607,710000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,195,11,0,2020-10-04T12:10:07,1601676553.910585,2020-10-03T01:09:13
1601802615,316000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,239,11,0,2020-10-04T12:10:15,1601676562.463145,2020-10-03T01:09:22
1601802618,6000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,27,11,0,2020-10-04T12:10:18,1601676570.53932,2020-10-03T01:09:30
1601802632,39000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,73,11,0,2020-10-04T12:10:32,1601676580.2947328,2020-10-03T01:09:40
1601802643,770000,0.0,0.0,0.0,-16.94915199279785,512.5657348632812,-116.3062515258789,1.0,0.0,0.0,0.0,120,11,0,2020-10-04T12:10:43,1601676589.738345,2020-10-03T01:09:49
1601802651,231000,0.0,0.0,0.0,75.97895812988281,234.36585998535156,-112.21508026123047,1.0,0.0,0.0,0.0,163,11,0,2020-10-04T12:10:51,1601676597.526324,2020-10-03T01:09:57
1601802658,715000,0.0,0.0,0.0,87.08358001708984,415.5464782714844,-96.43482971191406,1.0,0.0,0.0,0.0,206,11,0,2020-10-04T12:10:58,1601676606.3305929,2020-10-03T01:10:06
1601802666,348000,0.0,0.0,0.0,119.22852325439453,431.9111633300781,-60.783164978027344,1.0,0.0,0.0,0.0,251,11,0,2020-10-04T12:11:06,1601676615.251885,2020-10-03T01:10:15
1601802676,913000,0.0,0.0,0.0,-68.96551513671875,374.63470458984375,-189.36294555664062,1.0,0.0,0.0,0.0,40,11,0,2020-10-04T12:11:16,1601676624.6329238,2020-10-03T01:10:24
1601802686,818000,0.0,0.0,0.0,-26.3004093170166,261.8351745605469,-181.76504516601562,1.0,0.0,0.0,0.0,84,11,0,2020-10-04T12:11:26,1601676634.005964,2020-10-03T01:10:34
1601802695,544000,0.0,0.0,0.0,135.5932159423828,156.04908752441406,-20.455875396728516,1.0,0.0,0.0,0.0,123,11,0,2020-10-04T12:11:35,1601676641.6023679,2020-10-03T01:10:41
1601802704,13000,0.0,0.0,0.0,-186.440673828125,206.8965606689453,-218.0011749267578,1.0,0.0,0.0,0.0,170,11,0,2020-10-04T12:11:44,1601676651.636165,2020-10-03T01:10:51
1601802714,734000,0.0,0.0,0.0,-59.614261627197266,561.0753784179688,-126.2419662475586,1.0,0.0,0.0,0.0,216,11,0,2020-10-04T12:11:54,1601676660.779096,2020-10-03T01:11:00
1601802717,658000,0.0,0.0,0.0,55.52308654785156,529.514892578125,-73.64114379882812,1.0,0.0,0.0,0.0,1,11,0,2020-10-04T12:11:57,1601676668.2533479,2020-10-03T01:11:08
1601802727,26000,0.0,0.0,0.0,-144.36001586914062,271.1864318847656,-228.52133178710938,1.0,0.0,0.0,0.0,45,11,0,2020-10-04T12:12:07,1601676677.3451009,2020-10-03T01:11:17
1601802736,906000,0.0,0.0,0.0,-127.41087341308594,278.7843322753906,-218.0011749267578,1.0,0.0,0.0,0.0,92,11,0,2020-10-04T12:12:16,1601676686.0058088,2020-10-03T01:11:26
1601802747,141000,0.0,0.0,0.0,-177.08941650390625,151.3734588623047,-209.234375,1.0,0.0,0.0,0.0,137,11,0,2020-10-04T12:12:27,1601676694.625633,2020-10-03T01:11:34
1601802756,749000,0.0,0.0,0.0,120.39742279052734,267.6797180175781,-77.73231506347656,1.0,0.0,0.0,0.0,185,11,0,2020-10-04T12:12:36,1601676704.4470448,2020-10-03T01:11:44
1601802766,825000,0.0,0.0,0.0,143.77557373046875,129.74868774414062,16.36469841003418,1.0,0.0,0.0,0.0,229,11,0,2020-10-04T12:12:46,1601676712.9657729,2020-10-03T01:11:52
1601802771,692000,0.0,0.0,0.0,-1608.4161376953125,2031.5604248046875,445.3536071777344,1.0,0.0,0.0,0.0,18,11,0,2020-10-04T12:12:51,1601676722.005296,2020-10-03T01:12:02
1601802784,803000,0.0,0.0,0.0,-1783.167724609375,2365.283447265625,423.72882080078125,1.0,0.0,0.0,0.0,65,11,0,2020-10-04T12:13:04,1601676730.768061,2020-10-03T01:12:10
1601802792,108000,0.0,0.0,0.0,-1664.523681640625,2118.64404296875,441.2624206542969,1.0,0.0,0.0,0.0,104,11,0,2020-10-04T12:13:12,1601676738.2403889,2020-10-03T01:12:18
1601802799,703000,0.0,0.0,0.0,-1900.642822265625,2066.627685546875,388.6615905761719,1.0,0.0,0.0,0.0,146,11,0,2020-10-04T12:13:19,1601676748.041117,2020-10-03T01:12:28
1601802810,98000,0.0,0.0,0.0,-1688.4862060546875,1856.224365234375,442.43133544921875,1.0,0.0,0.0,0.0,191,11,0,2020-10-04T12:13:30,1601676756.247244,2020-10-03T01:12:36
1601802817,691000,0.0,0.0,0.0,-1879.01806640625,2536.5283203125,443.6002502441406,1.0,0.0,0.0,0.0,234,11,0,2020-10-04T12:13:37,1601676765.50034,2020-10-03T01:12:45
1601802822,610000,0.0,0.0,0.0,-1740.5025634765625,2144.9443359375,410.870849609375,1.0,0.0,0.0,0.0,28,11,0,2020-10-04T12:13:42,1601676775.131764,2020-10-03T01:12:55
1601802837,661000,0.0,0.0,0.0,-1849.2109375,2130.333251953125,394.5061340332031,1.0,0.0,0.0,0.0,68,11,0,2020-10-04T12:13:57,1601676782.904485,2020-10-03T01:13:02
1601802844,918000,0.0,0.0,0.0,-1600.2337646484375,2304.500244140625,479.25189208984375,1.0,0.0,0.0,0.0,113,11,0,2020-10-04T12:14:04,1601676792.395572,2020-10-03T01:13:12
1601802867,831000,0.0,0.0,0.0,-1903.565185546875,2046.171875,390.9994201660156,1.0,0.0,0.0,0.0,153,11,0,2020-10-04T12:14:27,1601676800.7557518,2020-10-03T01:13:20
1601802880,772000,0.0,0.0,0.0,-1610.75390625,2251.8994140625,468.7317199707031,1.0,0.0,0.0,0.0,194,11,0,2020-10-04T12:14:40,1601676808.791061,2020-10-03T01:13:28
1601802870,216000,0.0,0.0,0.0,-1863.2379150390625,2047.92529296875,392.7527770996094,1.0,0.0,0.0,0.0,238,11,0,2020-10-04T12:14:30,1601676817.749476,2020-10-03T01:13:37
1601802880,367000,0.0,0.0,0.0,-1710.1109619140625,2194.03857421875,424.8977355957031,1.0,0.0,0.0,0.0,27,11,0,2020-10-04T12:14:40,1601676826.9290369,2020-10-03T01:13:46
1601802890,464000,0.0,0.0,0.0,-1864.4068603515625,2217.416748046875,392.7527770996094,1.0,0.0,0.0,0.0,70,11,0,2020-10-04T12:14:50,1601676835.614408,2020-10-03T01:13:55
1601802898,37000,0.0,0.0,0.0,-1856.224365234375,2026.3004150390625,396.84393310546875,1.0,0.0,0.0,0.0,120,11,0,2020-10-04T12:14:58,1601676845.5640888,2020-10-03T01:14:05
1601802905,675000,0.0,0.0,0.0,-1895.3828125,2316.77392578125,400.35064697265625,1.0,0.0,0.0,0.0,160,11,0,2020-10-04T12:15:05,1601676853.299636,2020-10-03T01:14:13
1601802915,758000,0.0,0.0,0.0,-1845.119873046875,2143.191162109375,399.7662048339844,1.0,0.0,0.0,0.0,205,11,0,2020-10-04T12:15:15,1601676863.046453,2020-10-03T01:14:23
1601802925,569000,0.0,0.0,0.0,-1742.256103515625,2420.221923828125,451.1981201171875,1.0,0.0,0.0,0.0,246,11,0,2020-10-04T12:15:25,1601676870.982709,2020-10-03T01:14:30
1601802930,944000,0.0,0.0,0.0,-1782.583251953125,1995.3243408203125,409.11749267578125,1.0,0.0,0.0,0.0,31,11,0,2020-10-04T12:15:30,1601676879.353889,2020-10-03T01:14:39
1601802958,251000,0.0,0.0,0.0,-1649.912353515625,2228.521240234375,447.69140625,1.0,0.0,0.0,0.0,74,11,0,2020-10-04T12:15:58,1601676888.0854049,2020-10-03T01:14:48
1601802950,681000,0.0,0.0,0.0,-1664.523681640625,2324.956298828125,457.04266357421875,1.0,0.0,0.0,0.0,121,11,0,2020-10-04T12:15:50,1601676897.135213,2020-10-03T01:14:57
1601802958,225000,0.0,0.0,0.0,-1956.7503662109375,2072.472412109375,382.8170471191406,1.0,0.0,0.0,0.0,165,11,0,2020-10-04T12:15:58,1601676905.199796,2020-10-03T01:15:05
1601802966,601000,0.0,0.0,0.0,-1618.351806640625,2034.482666015625,462.88720703125,1.0,0.0,0.0,0.0,208,11,0,2020-10-04T12:16:06,1601676913.4866118,2020-10-03T01:15:13
1601802966,364000,0.0,0.0,0.0,-1889.538330078125,2273.524169921875,397.42840576171875,1.0,0.0,0.0,0.0,237,11,0,2020-10-04T12:16:06,1601676920.8223839,2020-10-03T01:15:20
1601802966,738000,0.0,0.0,0.0,-1638.8077392578125,2103.448486328125,452.3670349121094,1.0,0.0,0.0,0.0,46,11,0,2020-10-04T12:16:06,1601676935.493873,2020-10-03T01:15:35
1601802966,764000,0.0,0.0,0.0,-1769.725341796875,2203.389892578125,413.2086486816406,1.0,0.0,0.0,0.0,81,11,0,2020-10-04T12:16:06,1601676943.4902,2020-10-03T01:15:43
1601802966,404000,0.0,0.0,0.0,-1663.354736328125,2281.122314453125,457.6271057128906,1.0,0.0,0.0,0.0,129,11,0,2020-10-04T12:16:06,1601676953.17922,2020-10-03T01:15:53
1601802966,564000,0.0,0.0,0.0,-1783.752197265625,2037.405029296875,410.2864074707031,1.0,0.0,0.0,0.0,188,11,0,2020-10-04T12:16:06,1601676967.218596,2020-10-03T01:16:07
1601802966,323000,0.0,0.0,0.0,-1908.8253173828125,1932.203369140625,403.2729187011719,1.0,0.0,0.0,0.0,15,11,0,2020-10-04T12:16:06,1601676996.760964,2020-10-03T01:16:36
1601802966,42000,0.0,0.0,0.0,-1677.381591796875,2245.470458984375,443.6002502441406,1.0,0.0,0.0,0.0,55,11,0,2020-10-04T12:16:06,1601677004.0421329,2020-10-03T01:16:44
1601802966,180000,0.0,0.0,0.0,-135.00877380371094,375.8036193847656,-206.8965606689453,1.0,0.0,0.0,0.0,97,11,0,2020-10-04T12:16:06,1601677011.5320408,2020-10-03T01:16:51
1601802966,267000,0.0,0.0,0.0,-222.6768035888672,498.5388488769531,-226.76797485351562,1.0,0.0,0.0,0.0,136,11,0,2020-10-04T12:16:06,1601677019.116401,2020-10-03T01:16:59
1601802966,346000,0.0,0.0,0.0,-72.47223663330078,663.354736328125,-89.42139434814453,1.0,0.0,0.0,0.0,174,11,0,2020-10-04T12:16:06,1601677025.754221,2020-10-03T01:17:05
1601802966,259000,0.0,0.0,0.0,136.17767333984375,349.5032043457031,40.91175079345703,1.0,0.0,0.0,0.0,213,11,0,2020-10-04T12:16:06,1601677033.572268,2020-10-03T01:17:13
1601802966,407000,0.0,0.0,0.0,80.07013702392578,239.62594604492188,-16.94915199279785,1.0,0.0,0.0,0.0,21,11,0,2020-10-04T12:16:06,1601677045.352468,2020-10-03T01:17:25
1601802966,770000,0.0,0.0,0.0,-163.0625457763672,534.7749633789062,-192.86965942382812,1.0,0.0,0.0,0.0,66,11,0,2020-10-04T12:16:06,1601677053.711277,2020-10-03T01:17:33
1601802966,830000,0.0,0.0,0.0,-209.234375,649.912353515625,-176.50497436523438,1.0,0.0,0.0,0.0,104,11,0,2020-10-04T12:16:06,1601677060.317304,2020-10-03T01:17:40
1601802966,797000,0.0,0.0,0.0,44.4184684753418,299.2402038574219,-94.68147277832031,1.0,0.0,0.0,0.0,146,11,0,2020-10-04T12:16:06,1601677067.430233,2020-10-03T01:17:47
1601802966,430000,0.0,0.0,0.0,109.29281616210938,160.14027404785156,50.84745407104492,1.0,0.0,0.0,0.0,187,11,0,2020-10-04T12:16:06,1601677074.8764799,2020-10-03T01:17:54
1601802998,983000,0.0,0.0,0.0,-1801.8702392578125,2355.34765625,414.9620361328125,1.0,0.0,0.0,0.0,245,11,0,2020-10-04T12:16:38,1601677589.7082288,2020-10-03T01:26:29
1601803016,44000,0.0,0.0,0.0,-1627.703125,2189.947265625,455.289306640625,1.0,0.0,0.0,0.0,86,11,0,2020-10-04T12:16:56,1601677606.753897,2020-10-03T01:26:46
1601803018,199000,0.0,0.0,0.0,-1811.805908203125,1839.2752685546875,441.84686279296875,1.0,0.0,0.0,0.0,124,11,0,2020-10-04T12:16:58,1601677615.1664639,2020-10-03T01:26:55
1601803029,690000,0.0,0.0,0.0,25.71595573425293,479.25189208984375,-126.82642364501953,1.0,0.0,0.0,0.0,162,11,0,2020-10-04T12:17:09,1601677622.016793,2020-10-03T01:27:02
1601803041,200000,0.0,0.0,0.0,-1926.3587646484375,2192.285400390625,387.49267578125,1.0,0.0,0.0,0.0,229,11,0,2020-10-04T12:17:21,1601677634.645581,2020-10-03T01:27:14
1601803048,263000,0.0,0.0,0.0,-1701.34423828125,2337.814208984375,437.7557067871094,1.0,0.0,0.0,0.0,9,11,0,2020-10-04T12:17:28,1601677642.2785769,2020-10-03T01:27:22
