time_s,time_us,red_sensor_raw,co_conc,ox_sensor_raw,no2_conc,nh3_sensor_raw,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802263,602500,1.3899331092834473,2.112039566040039,26.236865997314453,3.9088215827941895,14.853965759277344,0.004560656845569611,246,13,0,2020-10-04T12:04:23,1601676210.733948,2020-10-03T01:03:30
1601802271,602500,1.4103922843933105,2.0738613605499268,27.78169059753418,4.133036136627197,15.148967742919922,0.004398140590637922,33,13,0,2020-10-04T12:04:31,1601676219.225564,2020-10-03T01:03:39
1601802281,602500,1.4148255586624146,2.0657520294189453,28.839500427246094,4.286384582519531,15.775090217590332,0.00408146483823657,75,13,0,2020-10-04T12:04:41,1601676228.634096,2020-10-03T01:03:48
1601802289,602500,1.4163070917129517,2.0630548000335693,29.743446350097656,4.417315483093262,16.107717514038086,0.003927312791347504,122,13,0,2020-10-04T12:04:49,1601676237.2965128,2020-10-03T01:03:57
1601802297,673500,1.3986554145812988,2.095609664916992,30.95345115661621,4.592421531677246,16.107717514038086,0.003927312791347504,166,13,0,2020-10-04T12:04:57,1601676246.370128,2020-10-03T01:04:06
1601802307,673500,1.381278395652771,2.128572940826416,30.95345115661621,4.592421531677246,16.107717514038086,0.003927312791347504,210,13,0,2020-10-04T12:05:07,1601676254.427273,2020-10-03T01:04:14
1601802314,673500,1.3899331092834473,2.112039566040039,31.992284774780273,4.742619514465332,16.107717514038086,0.003927312791347504,0,13,0,2020-10-04T12:05:14,1601676264.108713,2020-10-03T01:04:24
1601802325,697500,1.3942856788635254,2.103811740875244,33.10095977783203,4.902780055999756,16.45450210571289,0.0037759561091661453,44,13,0,2020-10-04T12:05:25,1601676272.6385238,2020-10-03T01:04:32
1601802332,697500,1.4192763566970825,2.0576679706573486,33.98263931274414,5.030052661895752,17.194303512573242,0.0034816560801118612,93,13,0,2020-10-04T12:05:32,1601676282.5482478,2020-10-03T01:04:42
1601802343,697500,1.3971970081329346,2.0983407497406006,33.10095977783203,4.902780055999756,17.194303512573242,0.0034816560801118612,137,13,0,2020-10-04T12:05:43,1601676290.6873438,2020-10-03T01:04:50
