time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601802109,829000,0,0,0,0,1,2,243,13,0,2020-10-04T12:01:49,1601676058.722733,2020-10-03T01:00:58
1601802124,829000,0,0,0,0,1,2,70,13,0,2020-10-04T12:02:04,1601676074.1836078,2020-10-03T01:01:14
1601802142,907000,0,0,0,0,1,2,163,13,0,2020-10-04T12:02:22,1601676093.70254,2020-10-03T01:01:33
1601802163,907000,0,0,0,0,1,2,249,13,0,2020-10-04T12:02:43,1601676112.2472448,2020-10-03T01:01:52
1601802178,983000,0,0,0,0,1,2,79,13,0,2020-10-04T12:02:58,1601676128.414085,2020-10-03T01:02:08
1601802200,57000,0,0,0,0,1,2,171,13,0,2020-10-04T12:03:20,1601676147.283748,2020-10-03T01:02:27
1601802218,57000,0,0,0,0,1,2,10,13,0,2020-10-04T12:03:38,1601676165.137605,2020-10-03T01:02:45
1601802233,131000,0,0,0,0,1,2,99,13,0,2020-10-04T12:03:53,1601676181.35218,2020-10-03T01:03:01
1601802251,131000,0,0,0,0,1,2,187,13,0,2020-10-04T12:04:11,1601676198.412868,2020-10-03T01:03:18
1601802269,204000,0,0,0,0,1,2,19,13,0,2020-10-04T12:04:29,1601676216.783428,2020-10-03T01:03:36
1601802287,204000,0,0,0,0,1,2,102,13,0,2020-10-04T12:04:47,1601676234.554725,2020-10-03T01:03:54
1601802305,275000,0,0,0,0,1,2,193,13,0,2020-10-04T12:05:05,1601676251.322928,2020-10-03T01:04:11
1601802320,275000,0,0,0,0,1,2,27,13,0,2020-10-04T12:05:20,1601676269.9170768,2020-10-03T01:04:29
1601802338,299000,0,0,0,0,1,2,120,13,0,2020-10-04T12:05:38,1601676287.081025,2020-10-03T01:04:47
1601802353,417000,0,0,0,0,1,2,209,13,0,2020-10-04T12:05:53,1601676304.445601,2020-10-03T01:05:04
1601802374,417000,0,0,0,0,1,2,41,13,0,2020-10-04T12:06:14,1601676321.820381,2020-10-03T01:05:21
1601802392,488000,0,0,0,0,1,2,128,13,0,2020-10-04T12:06:32,1601676339.041669,2020-10-03T01:05:39
1601802410,488000,0,0,0,0,1,2,221,13,0,2020-10-04T12:06:50,1601676357.456604,2020-10-03T01:05:57
1601802425,532000,0,0,0,0,1,2,51,13,0,2020-10-04T12:07:05,1601676374.636612,2020-10-03T01:06:14
1601802443,532000,0,0,0,0,1,2,138,13,0,2020-10-04T12:07:23,1601676391.881569,2020-10-03T01:06:31
1601802461,618000,0,0,0,0,1,2,227,13,0,2020-10-04T12:07:41,1601676409.2305999,2020-10-03T01:06:49
1601802476,618000,0,0,0,0,1,2,57,13,0,2020-10-04T12:07:56,1601676426.807837,2020-10-03T01:07:06
1601802494,698000,0,0,0,0,1,2,143,13,0,2020-10-04T12:08:14,1601676442.980861,2020-10-03T01:07:22
1601802512,778000,0,0,0,0,1,2,232,13,0,2020-10-04T12:08:32,1601676460.184512,2020-10-03T01:07:40
1601802530,778000,0,0,0,0,1,2,67,13,0,2020-10-04T12:08:50,1601676478.2741919,2020-10-03T01:07:58
1601802548,818000,0,0,0,0,1,2,160,13,0,2020-10-04T12:09:08,1601676496.102412,2020-10-03T01:08:16
1601802566,818000,0,0,0,0,1,2,251,13,0,2020-10-04T12:09:26,1601676514.154204,2020-10-03T01:08:34
