time_s,time_us,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601803693,697979,0,0,0,0,0,0,0,0,0,0,3787341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,71,20,0,2020-10-04T12:28:13,1601677652.429684,2020-10-03T01:27:32
1601803708,463600,0,0,0,0,0,0,0,0,0,0,3802341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,142,20,0,2020-10-04T12:28:28,1601677666.719565,2020-10-03T01:27:46
315964813,352346,0,0,0,0,0,0,0,0,0,0,3815341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,216,20,0,1980-01-06T03:00:13,1601677679.800437,2020-10-03T01:27:59
315964827,344375,0,0,0,0,0,0,0,0,0,0,3829341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,41,20,0,1980-01-06T03:00:27,1601677694.275696,2020-10-03T01:28:14
315964842,148444,0,0,0,0,0,0,0,0,0,0,3844341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,122,20,0,1980-01-06T03:00:42,1601677708.872416,2020-10-03T01:28:28
315964855,929690,0,0,0,0,0,0,0,0,0,0,3858341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216177,201,20,0,1980-01-06T03:00:55,1601677723.2662358,2020-10-03T01:28:43
315964870,697373,0,0,0,0,0,0,0,0,0,0,3873341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,30,20,0,1980-01-06T03:01:10,1601677737.852452,2020-10-03T01:28:57
315964884,480526,0,0,0,0,0,0,0,0,0,0,3887341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346737,109,20,0,1980-01-06T03:01:24,1601677752.1660209,2020-10-03T01:29:12
315964899,246156,0,0,0,0,0,0,0,0,0,0,3902341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216177,187,20,0,1980-01-06T03:01:39,1601677766.530468,2020-10-03T01:29:26
315964913,27409,0,0,0,0,0,0,0,0,0,0,3916341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250097,14,20,0,1980-01-06T03:01:53,1601677781.037349,2020-10-03T01:29:41
