time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
1601804838,831500,0.9178848266601562,194,13,0,2020-10-04T12:47:18
1601804839,831500,0.7304649353027344,199,13,0,2020-10-04T12:47:19
1601804840,831500,0.35565185546875,203,13,0,2020-10-04T12:47:20
1601804841,831500,0.5430717468261719,208,13,0,2020-10-04T12:47:21
1601804842,831500,0.5430717468261719,213,13,0,2020-10-04T12:47:22
1601804843,831500,0.9178848266601562,217,13,0,2020-10-04T12:47:23
1601804844,831500,0.16823196411132812,222,13,0,2020-10-04T12:47:24
1601804845,831500,0.5430717468261719,227,13,0,2020-10-04T12:47:25
1601804846,831500,0.16823196411132812,231,13,0,2020-10-04T12:47:26
1601804847,831500,0.35565185546875,236,13,0,2020-10-04T12:47:27
1601804848,831500,0.35565185546875,241,13,0,2020-10-04T12:47:28
1601804849,831500,0.35565185546875,245,13,0,2020-10-04T12:47:29
1601804850,831500,0.9178848266601562,250,13,0,2020-10-04T12:47:30
1601804851,831500,0.5430717468261719,255,13,0,2020-10-04T12:47:31
1601804852,831500,0.7304649353027344,3,13,0,2020-10-04T12:47:32
1601804853,831500,0.35565185546875,8,13,0,2020-10-04T12:47:33
1601804854,831500,0.5430717468261719,13,13,0,2020-10-04T12:47:34
1601804855,831500,0.9178848266601562,17,13,0,2020-10-04T12:47:35
1601804856,831500,0.5430717468261719,22,13,0,2020-10-04T12:47:36
1601804857,831500,0.35565185546875,27,13,0,2020-10-04T12:47:37
1601804858,831500,0.7304649353027344,31,13,0,2020-10-04T12:47:38
1601804859,831500,0.5430717468261719,36,13,0,2020-10-04T12:47:39
1601804860,831500,0.7304649353027344,41,13,0,2020-10-04T12:47:40
1601804861,831500,0.5430717468261719,45,13,0,2020-10-04T12:47:41
1601804862,831500,0.5430717468261719,50,13,0,2020-10-04T12:47:42
1601804863,831500,0.5430717468261719,55,13,0,2020-10-04T12:47:43
1601804864,946500,0.5430717468261719,59,13,0,2020-10-04T12:47:44
1601804865,946500,0.35565185546875,64,13,0,2020-10-04T12:47:45
1601804866,946500,0.5430717468261719,69,13,0,2020-10-04T12:47:46
1601804867,946500,0.5430717468261719,73,13,0,2020-10-04T12:47:47
1601804868,946500,0.5430717468261719,78,13,0,2020-10-04T12:47:48
1601804869,946500,1.1053047180175781,83,13,0,2020-10-04T12:47:49
1601804870,946500,1.1053047180175781,87,13,0,2020-10-04T12:47:50
1601804871,946500,0.5430717468261719,92,13,0,2020-10-04T12:47:51
1601804872,946500,0.5430717468261719,97,13,0,2020-10-04T12:47:52
1601804873,946500,0.9178848266601562,101,13,0,2020-10-04T12:47:53
1601804874,946500,0.5430717468261719,106,13,0,2020-10-04T12:47:54
1601804875,946500,1.1053047180175781,111,13,0,2020-10-04T12:47:55
1601804876,946500,0.9178848266601562,115,13,0,2020-10-04T12:47:56
1601804877,946500,0.7304649353027344,120,13,0,2020-10-04T12:47:57
1601804878,946500,0.9178848266601562,125,13,0,2020-10-04T12:47:58
1601804879,946500,0.9178848266601562,129,13,0,2020-10-04T12:47:59
1601804880,946500,1.2926979064941406,134,13,0,2020-10-04T12:48:00
1601804881,946500,0.7304649353027344,139,13,0,2020-10-04T12:48:01
1601804882,946500,0.9178848266601562,143,13,0,2020-10-04T12:48:02
1601804883,946500,1.1053047180175781,148,13,0,2020-10-04T12:48:03
1601804884,946500,0.7304649353027344,153,13,0,2020-10-04T12:48:04
1601804885,946500,0.7304649353027344,157,13,0,2020-10-04T12:48:05
1601804886,946500,0.9178848266601562,162,13,0,2020-10-04T12:48:06
1601804887,946500,1.2926979064941406,167,13,0,2020-10-04T12:48:07
1601804888,946500,0.9178848266601562,171,13,0,2020-10-04T12:48:08
1601804889,946500,0.9178848266601562,176,13,0,2020-10-04T12:48:09
1601804890,946500,1.1053047180175781,181,13,0,2020-10-04T12:48:10
1601804891,946500,1.1053047180175781,185,13,0,2020-10-04T12:48:11
1601804892,946500,1.2926979064941406,190,13,0,2020-10-04T12:48:12
1601804893,946500,0.9178848266601562,195,13,0,2020-10-04T12:48:13
1601804894,946500,1.1053047180175781,199,13,0,2020-10-04T12:48:14
1601804896,41500,1.1053047180175781,204,13,0,2020-10-04T12:48:16
1601804897,41500,0.9178848266601562,209,13,0,2020-10-04T12:48:17
1601804898,41500,1.4801177978515625,213,13,0,2020-10-04T12:48:18
1601804899,41500,1.1053047180175781,218,13,0,2020-10-04T12:48:19
1601804900,41500,1.1053047180175781,223,13,0,2020-10-04T12:48:20
1601804901,41500,1.4801177978515625,227,13,0,2020-10-04T12:48:21
1601804902,41500,0.9178848266601562,232,13,0,2020-10-04T12:48:22
1601804903,41500,1.4801177978515625,237,13,0,2020-10-04T12:48:23
1601804904,41500,1.1053047180175781,241,13,0,2020-10-04T12:48:24
1601804905,41500,1.1053047180175781,246,13,0,2020-10-04T12:48:25
1601804906,41500,1.4801177978515625,251,13,0,2020-10-04T12:48:26
1601804907,41500,1.2926979064941406,255,13,0,2020-10-04T12:48:27
1601804908,41500,1.2926979064941406,4,13,0,2020-10-04T12:48:28
1601804909,41500,1.2926979064941406,9,13,0,2020-10-04T12:48:29
1601804910,41500,1.4801177978515625,13,13,0,2020-10-04T12:48:30
1601804911,41500,1.4801177978515625,18,13,0,2020-10-04T12:48:31
1601804912,41500,1.1053047180175781,23,13,0,2020-10-04T12:48:32
1601804913,41500,1.1053047180175781,27,13,0,2020-10-04T12:48:33
1601804914,41500,1.2926979064941406,32,13,0,2020-10-04T12:48:34
1601804915,41500,1.4801177978515625,37,13,0,2020-10-04T12:48:35
1601804916,41500,1.8549308776855469,41,13,0,2020-10-04T12:48:36
1601804917,41500,1.2926979064941406,46,13,0,2020-10-04T12:48:37
1601804918,41500,1.4801177978515625,51,13,0,2020-10-04T12:48:38
1601804919,41500,1.2926979064941406,55,13,0,2020-10-04T12:48:39
1601804920,41500,1.2926979064941406,60,13,0,2020-10-04T12:48:40
1601804921,41500,1.6675090789794922,65,13,0,2020-10-04T12:48:41
1601804922,41500,1.4801177978515625,69,13,0,2020-10-04T12:48:42
1601804923,41500,1.6675090789794922,74,13,0,2020-10-04T12:48:43
1601804924,41500,2.0423507690429688,79,13,0,2020-10-04T12:48:44
1601804925,41500,1.4801177978515625,83,13,0,2020-10-04T12:48:45
1601804926,41500,1.6675090789794922,88,13,0,2020-10-04T12:48:46
1601804927,121500,2.2297439575195312,93,13,0,2020-10-04T12:48:47
1601804928,121500,1.8549308776855469,97,13,0,2020-10-04T12:48:48
1601804929,121500,2.0423507690429688,102,13,0,2020-10-04T12:48:49
1601804930,121500,1.6675090789794922,107,13,0,2020-10-04T12:48:50
1601804931,121500,1.6675090789794922,111,13,0,2020-10-04T12:48:51
1601804932,121500,1.6675090789794922,116,13,0,2020-10-04T12:48:52
1601804933,121500,2.0423507690429688,121,13,0,2020-10-04T12:48:53
1601804934,121500,2.2297439575195312,125,13,0,2020-10-04T12:48:54
1601804935,121500,2.2297439575195312,130,13,0,2020-10-04T12:48:55
1601804936,121500,1.8549308776855469,135,13,0,2020-10-04T12:48:56
1601804937,121500,1.4801177978515625,139,13,0,2020-10-04T12:48:57
1601804938,121500,2.0423507690429688,144,13,0,2020-10-04T12:48:58
1601804939,121500,1.8549308776855469,149,13,0,2020-10-04T12:48:59
1601804940,121500,1.8549308776855469,153,13,0,2020-10-04T12:49:00
1601804941,121500,2.417163848876953,158,13,0,2020-10-04T12:49:01
1601804942,121500,2.0423507690429688,163,13,0,2020-10-04T12:49:02
1601804943,121500,1.8549308776855469,167,13,0,2020-10-04T12:49:03
1601804944,121500,2.2297439575195312,172,13,0,2020-10-04T12:49:04
1601804945,121500,1.8549308776855469,177,13,0,2020-10-04T12:49:05
1601804946,121500,1.6675090789794922,181,13,0,2020-10-04T12:49:06
1601804947,121500,2.417163848876953,186,13,0,2020-10-04T12:49:07
1601804948,121500,1.8549308776855469,191,13,0,2020-10-04T12:49:08
1601804949,121500,2.2297439575195312,195,13,0,2020-10-04T12:49:09
1601804950,121500,2.2297439575195312,200,13,0,2020-10-04T12:49:10
1601804951,121500,2.604555130004883,205,13,0,2020-10-04T12:49:11
1601804952,121500,2.417163848876953,209,13,0,2020-10-04T12:49:12
1601804953,121500,2.417163848876953,214,13,0,2020-10-04T12:49:13
1601804954,121500,2.7919769287109375,219,13,0,2020-10-04T12:49:14
1601804955,121500,2.417163848876953,223,13,0,2020-10-04T12:49:15
1601804956,121500,2.7919769287109375,228,13,0,2020-10-04T12:49:16
1601804957,121500,2.9793968200683594,233,13,0,2020-10-04T12:49:17
1601804958,209500,2.604555130004883,237,13,0,2020-10-04T12:49:18
