time_s,time_us,rx_done_cnt,rx_dropped_cnt,rx_error_cnt,tx_done_cnt,tx_zeroes_cnt,tx_overrun_cnt,tx_error_cnt,restarts_cnt,listen_done_cnt,last_error,seq,srcSystem,srcComponent,time_gregorian
1601800374,580500,7042,0,0,7012,0,0,0,0,14054,0,88,13,0,2020-10-04T11:32:54
1601800377,580500,7091,0,0,7061,0,0,0,0,14152,0,102,13,0,2020-10-04T11:32:57
1601800380,580500,7140,0,0,7110,0,0,0,0,14250,0,116,13,0,2020-10-04T11:33:00
1601800383,580500,7189,0,0,7159,0,0,0,0,14348,0,130,13,0,2020-10-04T11:33:03
1601800386,205500,7240,0,0,7208,0,0,0,0,14448,0,144,13,0,2020-10-04T11:33:06
1601800389,205500,7289,0,0,7257,0,0,0,0,14546,0,158,13,0,2020-10-04T11:33:09
1601800392,205500,7338,0,0,7306,0,0,0,0,14644,0,172,13,0,2020-10-04T11:33:12
1601800395,205500,7387,0,0,7355,0,0,0,0,14742,0,186,13,0,2020-10-04T11:33:15
1601800398,205500,7435,0,0,7403,0,0,0,0,14838,0,200,13,0,2020-10-04T11:33:18
1601800401,205500,7482,0,0,7450,0,0,0,0,14932,0,214,13,0,2020-10-04T11:33:21
1601800404,205500,7528,0,0,7496,0,0,0,0,15024,0,228,13,0,2020-10-04T11:33:24
1601800407,205500,7574,0,0,7542,0,0,0,0,15116,0,242,13,0,2020-10-04T11:33:27
1601800410,205500,7620,0,0,7588,0,0,0,0,15208,0,0,13,0,2020-10-04T11:33:30
1601800413,205500,7666,0,0,7634,0,0,0,0,15300,0,14,13,0,2020-10-04T11:33:33
1601800415,828500,7712,0,0,7678,0,0,0,0,15390,0,28,13,0,2020-10-04T11:33:35
1601800418,828500,7758,0,0,7724,0,0,0,0,15482,0,42,13,0,2020-10-04T11:33:38
1601800421,828500,7804,0,0,7770,0,0,0,0,15574,0,56,13,0,2020-10-04T11:33:41
1601800424,828500,7851,0,0,7817,0,0,0,0,15668,0,70,13,0,2020-10-04T11:33:44
1601800427,828500,7897,0,0,7863,0,0,0,0,15760,0,84,13,0,2020-10-04T11:33:47
1601800430,828500,7943,0,0,7909,0,0,0,0,15852,0,98,13,0,2020-10-04T11:33:50
1601800433,828500,7990,0,0,7956,0,0,0,0,15946,0,112,13,0,2020-10-04T11:33:53
1601800436,828500,8037,0,0,8003,0,0,0,0,16040,0,126,13,0,2020-10-04T11:33:56
1601800439,828500,8085,0,0,8051,0,0,0,0,16136,0,140,13,0,2020-10-04T11:33:59
1601800442,828500,8133,0,0,8099,0,0,0,0,16232,0,154,13,0,2020-10-04T11:34:02
1601800445,448500,8181,0,0,8145,0,0,0,0,16326,0,168,13,0,2020-10-04T11:34:05
1601800448,448500,8227,0,0,8191,0,0,0,0,16418,0,182,13,0,2020-10-04T11:34:08
1601800451,448500,8273,0,0,8237,0,0,0,0,16510,0,196,13,0,2020-10-04T11:34:11
1601800454,448500,8319,0,0,8283,0,0,0,0,16602,0,210,13,0,2020-10-04T11:34:14
1601800457,448500,8365,0,0,8329,0,0,0,0,16694,0,224,13,0,2020-10-04T11:34:17
1601800460,448500,8411,0,0,8375,0,0,0,0,16786,0,238,13,0,2020-10-04T11:34:20
1601800463,448500,8457,0,0,8421,0,0,0,0,16878,0,252,13,0,2020-10-04T11:34:23
1601800466,448500,8503,0,0,8467,0,0,0,0,16970,0,10,13,0,2020-10-04T11:34:26
1601800469,448500,8549,0,0,8513,0,0,0,0,17062,0,24,13,0,2020-10-04T11:34:29
1601800472,448500,8595,0,0,8559,0,0,0,0,17154,0,38,13,0,2020-10-04T11:34:32
1601800475,448500,8641,0,0,8605,0,0,0,0,17246,0,52,13,0,2020-10-04T11:34:35
1601800478,70500,8690,0,0,8652,0,0,0,0,17342,0,66,13,0,2020-10-04T11:34:38
1601800481,70500,8739,0,0,8701,0,0,0,0,17440,0,80,13,0,2020-10-04T11:34:41
1601800484,70500,8788,0,0,8750,0,0,0,0,17538,0,94,13,0,2020-10-04T11:34:44
1601800487,70500,8837,0,0,8799,0,0,0,0,17636,0,108,13,0,2020-10-04T11:34:47
1601800490,70500,8886,0,0,8848,0,0,0,0,17734,0,122,13,0,2020-10-04T11:34:50
1601800493,70500,8935,0,0,8897,0,0,0,0,17832,0,136,13,0,2020-10-04T11:34:53
1601800496,70500,8984,0,0,8946,0,0,0,0,17930,0,150,13,0,2020-10-04T11:34:56
1601800499,70500,9033,0,0,8995,0,0,0,0,18028,0,164,13,0,2020-10-04T11:34:59
1601800502,70500,9082,0,0,9044,0,0,0,0,18126,0,178,13,0,2020-10-04T11:35:02
1601800505,70500,9131,0,0,9093,0,0,0,0,18224,0,192,13,0,2020-10-04T11:35:05
1601800507,692500,9182,0,0,9142,0,0,0,0,18324,0,206,13,0,2020-10-04T11:35:07
1601800510,692500,9229,0,0,9189,0,0,0,0,18418,0,220,13,0,2020-10-04T11:35:10
1601800513,692500,9273,0,0,9233,0,0,0,0,18506,0,234,13,0,2020-10-04T11:35:13
1601800516,692500,9319,0,0,9279,0,0,0,0,18598,0,248,13,0,2020-10-04T11:35:16
1601800519,692500,9365,0,0,9325,0,0,0,0,18690,0,6,13,0,2020-10-04T11:35:19
1601800522,692500,9411,0,0,9371,0,0,0,0,18782,0,20,13,0,2020-10-04T11:35:22
1601800525,692500,9457,0,0,9417,0,0,0,0,18874,0,34,13,0,2020-10-04T11:35:25
1601800528,692500,9503,0,0,9463,0,0,0,0,18966,0,48,13,0,2020-10-04T11:35:28
1601800531,692500,9550,0,0,9510,0,0,0,0,19060,0,62,13,0,2020-10-04T11:35:31
