alt,pressure,temperature
40,100845.39888889423,287.89000163604175
41,100833.43253372159,287.88350171886606
42,100821.46733211099,287.8770018037354
43,100809.50328397672,287.87050189064985
44,100797.5403892333,287.86400197960927
45,100785.5786477951,287.8575020706137
46,100773.61805957652,287.85100216366317
47,100761.65862449197,287.84450225875764
48,100749.70034245582,287.8380023558971
49,100737.74321338255,287.83150245508165
50,100725.78723718651,287.8250025563112
51,100713.8324137822,287.81850265958576
52,100701.87874308405,287.8120027649053
53,100689.92622500643,287.80550287226987
54,100677.97485946387,287.7990029816795
55,100666.0246463707,287.7925030931341
56,100654.07558564149,287.7860032066337
57,100642.12767719061,287.77950332217836
58,100630.18092093251,287.773003439768
59,100618.23531678175,287.7665035594027
60,100606.29086465269,287.7600036810823
61,100594.34756445984,287.753503804807
62,100582.40541611773,287.7470039305767
63,100570.46441954076,287.74050405839137
64,100558.52457464345,287.73400418825105
65,100546.58588134027,287.72750432015573
66,100534.64833954578,287.7210044541054
67,100522.71194917441,287.7145045901001
68,100510.77671014064,287.7080047281398
69,100498.84262235905,287.7015048682245
70,100486.90968574413,287.6950050103542
71,100474.97790021033,287.68850515452885
72,100463.04726567228,287.6820053007486
73,100451.11778204447,287.67550544901326
74,100439.18944924134,287.66900559932293
75,100427.26226717756,287.6625057516776
76,100415.33623576755,287.6560059060772
77,100403.41135492595,287.6495060625219
78,100391.48762456723,287.64300622101155
79,100379.56504460602,287.63650638154616
80,100367.64361495677,287.63000654412576
81,100355.72333553413,287.6235067087504
82,100343.80420625267,287.61700687542
83,100331.88622702686,287.6105070441346
84,100319.96939777138,287.6040072148941
85,100308.05371840078,287.59750738769867
86,100296.13918882962,287.5910075625482
87,100284.22580897252,287.58450773944276
88,100272.31357874403,287.57800791838224
89,100260.40249805873,287.5715080993667
90,100248.4925668313,287.5650082823962
91,100236.58378497632,287.55850846747063
92,100224.67615240833,287.55200865459005
93,100212.76966904201,287.5455088437544
94,100200.86433479203,287.5390090349638
95,100188.96014957286,287.53250922821815
96,100177.05711329926,287.52600942351745
97,100165.15522588589,287.5195096208617
98,100153.25448724722,287.51300982025094
99,100141.35489729799,287.5065100216852
100,100129.4564559529,287.5000102251644
101,100117.55916312647,287.49351043068856
102,100105.66301873347,287.4870106382577
103,100093.76802268853,287.48051084787176
104,100081.87417490628,287.4740110595308
105,100069.98147530135,287.4675112732349
106,100058.08992378855,287.46101148898384
107,100046.19952028246,287.45451170677785
108,100034.31026469773,287.44801192661674
109,100022.4221569491,287.44151214850064
110,100010.53519695133,287.43501237242947
111,99998.64938461893,287.42851259840324
112,99986.76471986677,287.422012826422
113,99974.8812026095,287.41551305648574
114,99962.99883276178,287.4090132885944
115,99951.11761023832,287.402513522748
116,99939.23753495395,287.3960137589466
117,99927.35860682328,287.38951399719014
118,99915.4808257611,287.3830142374786
119,99903.60419168207,287.37651447981204
120,99891.72870450094,287.3700147241904
121,99879.85436413257,287.3635149706137
122,99867.98117049152,287.35701521908203
123,99856.10912349266,287.3505154695952
