time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
1601800045,394000,18.55585289001465,78,13,0,2020-10-04T11:27:25
1601800046,394000,18.54180335998535,82,13,0,2020-10-04T11:27:26
1601800047,475000,18.008024215698242,87,13,0,2020-10-04T11:27:27
1601800048,475000,18.106353759765625,92,13,0,2020-10-04T11:27:28
1601800049,475000,18.55585289001465,96,13,0,2020-10-04T11:27:29
1601800050,475000,18.56989860534668,101,13,0,2020-10-04T11:27:30
1601800051,475000,18.373241424560547,106,13,0,2020-10-04T11:27:31
1601800052,475000,18.513710021972656,110,13,0,2020-10-04T11:27:32
1601800053,475000,18.56989860534668,115,13,0,2020-10-04T11:27:33
1601800054,475000,18.56989860534668,120,13,0,2020-10-04T11:27:34
1601800055,475000,18.162540435791016,124,13,0,2020-10-04T11:27:35
1601800056,475000,18.204681396484375,129,13,0,2020-10-04T11:27:36
1601800057,475000,18.58394432067871,134,13,0,2020-10-04T11:27:37
1601800058,475000,18.56989860534668,138,13,0,2020-10-04T11:27:38
1601800059,475000,18.58394432067871,143,13,0,2020-10-04T11:27:39
1601800060,475000,18.331100463867188,148,13,0,2020-10-04T11:27:40
1601800061,475000,18.28896141052246,152,13,0,2020-10-04T11:27:41
1601800062,475000,18.58394432067871,157,13,0,2020-10-04T11:27:42
1601800063,475000,18.58394432067871,162,13,0,2020-10-04T11:27:43
1601800064,475000,18.260868072509766,166,13,0,2020-10-04T11:27:44
1601800065,475000,18.401336669921875,171,13,0,2020-10-04T11:27:45
1601800066,475000,18.597991943359375,176,13,0,2020-10-04T11:27:46
1601800067,475000,18.56989860534668,180,13,0,2020-10-04T11:27:47
1601800068,475000,18.62608528137207,185,13,0,2020-10-04T11:27:48
1601800069,475000,18.373241424560547,190,13,0,2020-10-04T11:27:49
1601800070,475000,18.23277473449707,194,13,0,2020-10-04T11:27:50
1601800071,475000,18.597991943359375,199,13,0,2020-10-04T11:27:51
1601800072,475000,18.61203956604004,204,13,0,2020-10-04T11:27:52
1601800073,475000,18.12040138244629,208,13,0,2020-10-04T11:27:53
1601800074,475000,18.204681396484375,213,13,0,2020-10-04T11:27:54
1601800075,475000,18.61203956604004,218,13,0,2020-10-04T11:27:55
1601800076,475000,18.597991943359375,222,13,0,2020-10-04T11:27:56
1601800077,624000,18.359195709228516,227,13,0,2020-10-04T11:27:57
1601800078,624000,18.401336669921875,232,13,0,2020-10-04T11:27:58
1601800079,624000,18.597991943359375,236,13,0,2020-10-04T11:27:59
1601800080,624000,18.597991943359375,241,13,0,2020-10-04T11:28:00
