time_s,time_us,current,voltage,seq,srcSystem,srcComponent,time_gregorian
0,0,5.605193857299268e-45,3.60457405276737e-40,200,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.632628048023153e-40,209,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.660682043278936e-40,218,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.688736038534719e-40,227,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.7167900337905016e-40,236,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.744844029046284e-40,245,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.772898024302067e-40,254,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.80095201955785e-40,7,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.829006014813633e-40,16,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.857060010069416e-40,25,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.8851140053251986e-40,34,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.9131680005809814e-40,43,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.941221995836764e-40,52,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.969275991092547e-40,61,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,3.99732998634833e-40,70,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.025383981604113e-40,79,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.053437976859896e-40,88,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.0814919721156784e-40,97,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.109545967371461e-40,106,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.137599962627244e-40,115,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.165653957883027e-40,124,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.19370795313881e-40,133,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.221761948394593e-40,142,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.2498159436503755e-40,151,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.277869938906158e-40,160,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.305923934161941e-40,169,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.333977929417724e-40,178,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.362031924673507e-40,187,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.39008591992929e-40,196,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.4181399151850725e-40,205,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.446193910440855e-40,214,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.474247905696638e-40,223,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.502301900952421e-40,232,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.530355896208204e-40,241,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.558409891463987e-40,250,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.5864638867197695e-40,3,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.614517881975552e-40,12,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.642571877231335e-40,21,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.670625872487118e-40,30,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.698679867742901e-40,39,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.726733862998684e-40,48,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.7547878582544665e-40,57,21,0,1970-01-01T03:00:00
0,0,5.605193857299268e-45,4.782841853510249e-40,66,21,0,1970-01-01T03:00:00
