time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
1601800251,685000,0,0,0,0,1,2,19,13,0,2020-10-04T11:30:51
1601800254,685000,0,0,0,0,1,2,33,13,0,2020-10-04T11:30:54
1601800257,685000,0,0,0,0,1,2,47,13,0,2020-10-04T11:30:57
1601800260,685000,0,0,0,0,1,2,61,13,0,2020-10-04T11:31:00
1601800263,308000,0,0,0,0,1,2,75,13,0,2020-10-04T11:31:03
1601800266,308000,0,0,0,0,1,2,89,13,0,2020-10-04T11:31:06
1601800269,308000,0,0,0,0,1,2,103,13,0,2020-10-04T11:31:09
1601800272,308000,0,0,0,0,1,2,117,13,0,2020-10-04T11:31:12
1601800275,308000,0,0,0,0,1,2,131,13,0,2020-10-04T11:31:15
1601800278,308000,0,0,0,0,1,2,145,13,0,2020-10-04T11:31:18
1601800281,308000,0,0,0,0,1,2,159,13,0,2020-10-04T11:31:21
1601800284,308000,0,0,0,0,1,2,173,13,0,2020-10-04T11:31:24
1601800287,308000,0,0,0,0,1,2,187,13,0,2020-10-04T11:31:27
1601800290,308000,0,0,0,0,1,2,201,13,0,2020-10-04T11:31:30
1601800292,932000,0,0,0,0,1,2,215,13,0,2020-10-04T11:31:32
1601800295,932000,0,0,0,0,1,2,229,13,0,2020-10-04T11:31:35
1601800298,932000,0,0,0,0,1,2,243,13,0,2020-10-04T11:31:38
1601800301,932000,0,0,0,0,1,2,1,13,0,2020-10-04T11:31:41
1601800304,932000,0,0,0,0,1,2,15,13,0,2020-10-04T11:31:44
1601800307,932000,0,0,0,0,1,2,29,13,0,2020-10-04T11:31:47
1601800310,932000,0,0,0,0,1,2,43,13,0,2020-10-04T11:31:50
1601800313,932000,0,0,0,0,1,2,57,13,0,2020-10-04T11:31:53
1601800316,932000,0,0,0,0,1,2,71,13,0,2020-10-04T11:31:56
1601800319,932000,0,0,0,0,1,2,85,13,0,2020-10-04T11:31:59
1601800322,932000,0,0,0,0,1,2,99,13,0,2020-10-04T11:32:02
1601800325,556000,0,0,0,0,1,2,113,13,0,2020-10-04T11:32:05
1601800328,556000,0,0,0,0,1,2,127,13,0,2020-10-04T11:32:08
1601800331,556000,0,0,0,0,1,2,141,13,0,2020-10-04T11:32:11
1601800334,556000,0,0,0,0,1,2,155,13,0,2020-10-04T11:32:14
